Reaction,First Reactant,First Product,Reactant Formula,Reactant MW,Product Formula,Product MW,MW Difference,Formula Difference
(S)-ureidoglycine + H2O  ->  (S)-ureidoglycolate + ammonium,(S)-ureidoglycine,(S)-ureidoglycolate,C3H7N3O3,133.0487411066,C3H5N2O4,134.0327566914,0.984,-H2-NO
(S)-ureidoglycolate  ->  urea + glyoxylate,(S)-ureidoglycolate,urea,C3H5N2O4,134.0327566914,CH4N2O,60.0323627609,-74.0004,-C2-H-O3
(Z)-1-(glutathion-S-yl)-N-hydroxy-2-(1H-indol-3-yl)ethan-1-imine + H2O  ->  (Z)-1-(L-cysteinylglycin-S-yl)-N-hydroxy-2-(1H-indol-3-yl)ethan-1-imine + L-glutamate,(Z)-1-(glutathion-S-yl)-N-hydroxy-2-(1H-indol-3-yl)ethan-1-imine,(Z)-1-(L-cysteinylglycin-S-yl)-N-hydroxy-2-(1H-indol-3-yl)ethan-1-imine,C20H24N5O7S,479.1474688732,C15H18N4O4S,350.104875777,-129.0426,-C5-H6-N-O3
(Z)-1-(glutathion-S-yl)-N-hydroxy-2-phenylethan-1-imine + H2O  ->  (Z)-1-(L-cysteinyglycin-S-yl)-N-hydroxy-2-phenylethan-1-imine + L-glutamate,(Z)-1-(glutathion-S-yl)-N-hydroxy-2-phenylethan-1-imine,(Z)-1-(L-cysteinyglycin-S-yl)-N-hydroxy-2-phenylethan-1-imine,C18H23N4O7S,440.1365698359,C13H17N3O4S,311.0939767397,-129.0426,-C5-H6-N-O3
(Z)-1-(L-cystein-S-yl)-N-hydroxy-2-phenylethan-1-imine + H2O  ->  (Z)-2-phenyl-1-thioacetohydroximate + pyruvate + ammonium + H+,(Z)-1-(L-cystein-S-yl)-N-hydroxy-2-phenylethan-1-imine,(Z)-2-phenyl-1-thioacetohydroximate,C11H14N2O3S,254.0725130161,C8H8NOS,167.0404846062,-87.032,-C3-H6-N-O2
(Z)-1-(L-cysteinyglycin-S-yl)-N-hydroxy-2-phenylethan-1-imine + H2O  ->  (Z)-2-phenyl-1-thioacetohydroximate + L-seryl-glycine + H+,(Z)-1-(L-cysteinyglycin-S-yl)-N-hydroxy-2-phenylethan-1-imine,(Z)-2-phenyl-1-thioacetohydroximate,C13H17N3O4S,311.0939767397,C8H8NOS,167.0404846062,-144.0535,-C5-H9-N2-O3
(Z)-1-(L-cysteinylglycin-S-yl)-N-hydroxy-2-(1H-indol-3-yl)ethan-1-imine + H2O  ->  (Z)-2-(1H-indol-3-yl)-1-thioacetohydroximate + L-seryl-glycine + H+,(Z)-1-(L-cysteinylglycin-S-yl)-N-hydroxy-2-(1H-indol-3-yl)ethan-1-imine,(Z)-2-(1H-indol-3-yl)-1-thioacetohydroximate,C15H18N4O4S,350.104875777,C10H9N2OS,206.0513836435,-144.0535,-C5-H9-N2-O3
(Z)-2-methylpropanal-oxime  ->  2-methylpropanenitrile + H2O,(Z)-2-methylpropanal-oxime,2-methylpropanenitrile,C4H9NO,87.0684139162,C4H7N,69.0578492299,-18.0106,-H2-O
(Z)-but-2-enal + NADPH + H+  ->  1-butanal + NADP+,(Z)-but-2-enal,1-butanal,C4H6O,70.0418648147,C4H8O,72.0575148789,2.0157,H2
(Z)-phenylacetaldehyde oxime + L-cysteine + NADPH + dioxygen + H+  ->  (Z)-1-(L-cystein-S-yl)-N-hydroxy-2-phenylethan-1-imine + NADP+ + 2 H2O,(Z)-phenylacetaldehyde oxime,(Z)-1-(L-cystein-S-yl)-N-hydroxy-2-phenylethan-1-imine,C8H9NO,135.0684139162,C11H14N2O3S,254.0725130161,119.0041,C3H5NO2S
(Z)-[(4-hydroxyphenyl)acetaldehyde oxime]  ->  (4-hydroxyphenyl)acetonitrile + H2O,(Z)-[(4-hydroxyphenyl)acetaldehyde oxime],(4-hydroxyphenyl)acetonitrile,C8H9NO2,151.0633285383,C8H7NO,133.052763852,-18.0106,-H2-O
"1,2-dihydrovomilenine + NADP+  <-  vomilenine + NADPH + H+",vomilenine,"1,2-dihydrovomilenine",C21H22N2O3,350.1630425829,C21H24N2O3,352.1786926471,2.0157,H2
"1,2-dihydroxy-5-(methylsulfanyl)pent-1-en-3-one + dioxygen  ->  3-(methylsulfanyl)propanoate + formate + carbon monoxide + H+","1,2-dihydroxy-5-(methylsulfanyl)pent-1-en-3-one",3-(methylsulfanyl)propanoate,C6H9O3S,162.03506487730002,C4H7O2S,120.024500191,-42.0106,-C2-H2-O
"1,2-dihydroxy-5-(methylsulfanyl)pent-1-en-3-one + dioxygen  ->  4-(methylsulfanyl)-2-oxobutanoate + formate + H+","1,2-dihydroxy-5-(methylsulfanyl)pent-1-en-3-one",4-(methylsulfanyl)-2-oxobutanoate,C6H9O3S,162.03506487730002,C5H7O3S,148.0194148131,-14.0157,-C-H2
"1,3,5-trihydroxyxanthone + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  1,3,5,6-tetrahydroxyxanthone + oxidized [NADPH-hemoprotein reductase] + H2O","1,3,5-trihydroxyxanthone","1,3,5,6-tetrahydroxyxanthone",C13H7O5,244.0371733673,C13H7O6,260.0320879894,15.9949,O
"1,3,7-trihydroxyxanthone + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  1,3,6,7-tetrahydroxyxanthone + oxidized [NADPH-hemoprotein reductase] + H2O","1,3,7-trihydroxyxanthone","1,3,6,7-tetrahydroxyxanthone",C13H7O5,244.0371733673,C13H7O6,260.0320879894,15.9949,O
"1,4-dihydroxy-2-naphthoyl-CoA + H2O  ->  1,4-dihydroxy-2-naphthoate + coenzyme A + H+","1,4-dihydroxy-2-naphthoyl-CoA","1,4-dihydroxy-2-naphthoate",C32H38N7O19P3S,953.1469024245,C11H7O4,204.0422587452,-749.1046,-C21-H31-N7-O15-P3-S
"1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate + H+  ->  (1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate + CO2 + H2O",1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,"(1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate",C12H13NO9P,349.0562676277,C11H12NO6P,287.05587369719996,-62.0004,-C-H-O3
"1-(3,4-dihydroxyphenyl)-3-(3-C-glucosyl-2,4,6-trihydroxyphenyl)propane-1,3-dione  ->  isoorientin + H2O","1-(3,4-dihydroxyphenyl)-3-(3-C-glucosyl-2,4,6-trihydroxyphenyl)propane-1,3-dione",isoorientin,C21H21O12,466.1111261714,C21H19O11,448.1005614851,-18.0106,-H2-O
"1-(3,4-dihydroxyphenyl)-5-hydroxy-3-decanone + S-adenosyl-L-methionine  ->  6-gingerol + S-adenosyl-L-homocysteine + H+","1-(3,4-dihydroxyphenyl)-5-hydroxy-3-decanone",6-gingerol,C16H24O4,280.1674592588,C17H26O4,294.183109323,14.0157,CH2
"1-(4-hydroxyphenyl)-3-(2,4,6-trihydroxyphenyl)propane-1,3-dione + UDP-alpha-D-glucose  ->  3-C-glucosyl-2,4,4',6-tetrahydroxydibenzoylmethane + UDP + H+","1-(4-hydroxyphenyl)-3-(2,4,6-trihydroxyphenyl)propane-1,3-dione","3-C-glucosyl-2,4,4',6-tetrahydroxydibenzoylmethane",C15H11O6,288.0633881178,C21H21O11,450.1162115493,162.0528,C6H10O5
1-16:0-2-18:1-diacylglycerol-trimethylhomoserine + a reduced two electron carrier + dioxygen  ->  1-16:0-2-18:2-diacylglycerol-trimethylhomoserine + an oxidized electron carrier + 2 H2O,1-16:0-2-18:1-diacylglycerol-trimethylhomoserine,1-16:0-2-18:2-diacylglycerol-trimethylhomoserine,C44H83NO7,739.6326040884001,C44H81NO7,737.6169540242,-2.0157,-H2
1-16:0-2-18:2-diacylglycerol-trimethylhomoserine + a reduced two electron carrier + dioxygen  ->  1-16:0-2-18:3-diacylglycerol-trimethylhomoserine + an oxidized electron carrier + 2 H2O,1-16:0-2-18:2-diacylglycerol-trimethylhomoserine,1-16:0-2-18:3-diacylglycerol-trimethylhomoserine,C44H81NO7,737.6169540242,C44H79NO7,735.60130396,-2.0157,-H2
1-16:0-2-18:2-digalactosyldiacylglycerol + 2 reduced ferredoxin [iron-sulfur] cluster + dioxygen + 2 H+  ->  1-16:0-2-18:3-digalactosyldiacylglycerol + 2 oxidized ferredoxin [iron-sulfur] cluster + 2 H2O,1-16:0-2-18:2-digalactosyldiacylglycerol,1-16:0-2-18:3-digalactosyldiacylglycerol,C49H88O15,916.6123221563,C49H86O15,914.5966720921,-2.0157,-H2
1-18:0-2-18:1-phosphatidylethanolamine + a reduced two electron carrier + dioxygen  ->  1-18:0-2-18:2-phosphatidylethanolamine + an oxidized electron carrier + 2 H2O,1-18:0-2-18:1-phosphatidylethanolamine,1-18:0-2-18:2-phosphatidylethanolamine,C41H80NO8P,745.56215506,C41H78NO8P,743.5465049958,-2.0157,-H2
1-18:0-2-18:2-phosphatidylethanolamine + a reduced two electron carrier + dioxygen  ->  1-18:0-2-18:3-phosphatidylethanolamine + an oxidized electron carrier + 2 H2O,1-18:0-2-18:2-phosphatidylethanolamine,1-18:0-2-18:3-phosphatidylethanolamine,C41H78NO8P,743.5465049958,C41H76NO8P,741.5308549316001,-2.0157,-H2
1-18:1-2-16:0-digalactosyldiacylglycerol + 2 reduced ferredoxin [iron-sulfur] cluster + dioxygen + 2 H+  ->  1-18:2-2-16:0-digalactosyldiacylglycerol + 2 oxidized ferredoxin [iron-sulfur] cluster + 2 H2O,1-18:1-2-16:0-digalactosyldiacylglycerol,1-18:2-2-16:0-digalactosyldiacylglycerol,C49H90O15,918.6279722205,C49H88O15,916.6123221563,-2.0157,-H2
1-18:1-2-16:0-monogalactosyldiacylglycerol + 2 reduced ferredoxin [iron-sulfur] cluster + dioxygen + 2 H+  ->  1-18:1-2-16:1-monogalactosyldiacylglycerol + 2 oxidized ferredoxin [iron-sulfur] cluster + 2 H2O,1-18:1-2-16:0-monogalactosyldiacylglycerol,1-18:1-2-16:1-monogalactosyldiacylglycerol,C43H80O10,756.575148789,C43H78O10,754.5594987247999,-2.0157,-H2
1-18:1-2-16:0-monogalactosyldiacylglycerol + 2 reduced ferredoxin [iron-sulfur] cluster + dioxygen + 2 H+  ->  1-18:2-2-16:0-monogalactosyldiacylglycerol + 2 oxidized ferredoxin [iron-sulfur] cluster + 2 H2O,1-18:1-2-16:0-monogalactosyldiacylglycerol,1-18:2-2-16:0-monogalactosyldiacylglycerol,C43H80O10,756.575148789,C43H78O10,754.5594987247999,-2.0157,-H2
1-18:1-2-16:1-monogalactosyldiacylglycerol + 2 reduced ferredoxin [iron-sulfur] cluster + dioxygen + 2 H+  ->  1-18:1-2-16:2-monogalactosyldiacylglycerol + 2 oxidized ferredoxin [iron-sulfur] cluster + 2 H2O,1-18:1-2-16:1-monogalactosyldiacylglycerol,1-18:1-2-16:2-monogalactosyldiacylglycerol,C43H78O10,754.5594987247999,C43H76O10,752.5438486606,-2.0157,-H2
1-18:1-2-16:1-monogalactosyldiacylglycerol + 2 reduced ferredoxin [iron-sulfur] cluster + dioxygen + 2 H+  ->  1-18:2-2-16:1-monogalactosyldiacylglycerol + 2 oxidized ferredoxin [iron-sulfur] cluster + 2 H2O,1-18:1-2-16:1-monogalactosyldiacylglycerol,1-18:2-2-16:1-monogalactosyldiacylglycerol,C43H78O10,754.5594987247999,C43H76O10,752.5438486606,-2.0157,-H2
1-18:1-2-16:2-monogalactosyldiacylglycerol + 2 reduced ferredoxin [iron-sulfur] cluster + dioxygen + 2 H+  ->  1-18:1-2-16:3-monogalactosyldiacylglycerol + 2 oxidized ferredoxin [iron-sulfur] cluster + 2 H2O,1-18:1-2-16:2-monogalactosyldiacylglycerol,1-18:1-2-16:3-monogalactosyldiacylglycerol,C43H76O10,752.5438486606,C43H74O10,750.5281985964,-2.0157,-H2
1-18:1-2-16:2-monogalactosyldiacylglycerol + 2 reduced ferredoxin [iron-sulfur] cluster + dioxygen + 2 H+  ->  1-18:2-2-16:2-monogalactosyldiacylglycerol + 2 oxidized ferredoxin [iron-sulfur] cluster + 2 H2O,1-18:1-2-16:2-monogalactosyldiacylglycerol,1-18:2-2-16:2-monogalactosyldiacylglycerol,C43H76O10,752.5438486606,C43H74O10,750.5281985964,-2.0157,-H2
1-18:1-2-16:3-monogalactosyldiacylglycerol + 2 reduced ferredoxin [iron-sulfur] cluster + dioxygen + 2 H+  ->  1-18:2-2-16:3-monogalactosyldiacylglycerol + 2 oxidized ferredoxin [iron-sulfur] cluster + 2 H2O,1-18:1-2-16:3-monogalactosyldiacylglycerol,1-18:2-2-16:3-monogalactosyldiacylglycerol,C43H74O10,750.5281985964,C43H72O10,748.5125485322,-2.0157,-H2
1-18:2-2-16:0-digalactosyldiacylglycerol + a reduced two electron carrier + dioxygen  ->  1-18:3-2-16:0-digalactosyldiacylglycerol + an oxidized electron carrier + 2 H2O,1-18:2-2-16:0-digalactosyldiacylglycerol,1-18:3-2-16:0-digalactosyldiacylglycerol,C49H88O15,916.6123221563,C49H86O15,914.5966720921,-2.0157,-H2
1-18:2-2-16:0-monogalactosyldiacylglycerol + 2 reduced ferredoxin [iron-sulfur] cluster + dioxygen + 2 H+  ->  1-18:2-2-16:1-monogalactosyldiacylglycerol + 2 oxidized ferredoxin [iron-sulfur] cluster + 2 H2O,1-18:2-2-16:0-monogalactosyldiacylglycerol,1-18:2-2-16:1-monogalactosyldiacylglycerol,C43H78O10,754.5594987247999,C43H76O10,752.5438486606,-2.0157,-H2
1-18:2-2-16:0-monogalactosyldiacylglycerol + 2 reduced ferredoxin [iron-sulfur] cluster + dioxygen + 2 H+  ->  1-18:3-2-16:0-monogalactosyldiacylglycerol + 2 oxidized ferredoxin [iron-sulfur] cluster + 2 H2O,1-18:2-2-16:0-monogalactosyldiacylglycerol,1-18:3-2-16:0-monogalactosyldiacylglycerol,C43H78O10,754.5594987247999,C43H76O10,752.5438486606,-2.0157,-H2
1-18:2-2-16:1-monogalactosyldiacylglycerol + 2 reduced ferredoxin [iron-sulfur] cluster + dioxygen + 2 H+  ->  1-18:2-2-16:2-monogalactosyldiacylglycerol + 2 oxidized ferredoxin [iron-sulfur] cluster + 2 H2O,1-18:2-2-16:1-monogalactosyldiacylglycerol,1-18:2-2-16:2-monogalactosyldiacylglycerol,C43H76O10,752.5438486606,C43H74O10,750.5281985964,-2.0157,-H2
1-18:2-2-16:1-monogalactosyldiacylglycerol + 2 reduced ferredoxin [iron-sulfur] cluster + dioxygen + 2 H+  ->  1-18:3-2-16:1-monogalactosyldiacylglycerol + 2 oxidized ferredoxin [iron-sulfur] cluster + 2 H2O,1-18:2-2-16:1-monogalactosyldiacylglycerol,1-18:3-2-16:1-monogalactosyldiacylglycerol,C43H76O10,752.5438486606,C43H74O10,750.5281985964,-2.0157,-H2
1-18:2-2-16:2-monogalactosyldiacylglycerol + 2 reduced ferredoxin [iron-sulfur] cluster + dioxygen + 2 H+  ->  1-18:2-2-16:3-monogalactosyldiacylglycerol + 2 oxidized ferredoxin [iron-sulfur] cluster + 2 H2O,1-18:2-2-16:2-monogalactosyldiacylglycerol,1-18:2-2-16:3-monogalactosyldiacylglycerol,C43H74O10,750.5281985964,C43H72O10,748.5125485322,-2.0157,-H2
1-18:2-2-16:2-monogalactosyldiacylglycerol + 2 reduced ferredoxin [iron-sulfur] cluster + dioxygen + 2 H+  ->  1-18:3-2-16:2-monogalactosyldiacylglycerol + 2 oxidized ferredoxin [iron-sulfur] cluster + 2 H2O,1-18:2-2-16:2-monogalactosyldiacylglycerol,1-18:3-2-16:2-monogalactosyldiacylglycerol,C43H74O10,750.5281985964,C43H72O10,748.5125485322,-2.0157,-H2
1-18:2-2-16:3-monogalactosyldiacylglycerol + 2 reduced ferredoxin [iron-sulfur] cluster + dioxygen + 2 H+  ->  1-18:3-2-16:3-monogalactosyldiacylglycerol + 2 oxidized ferredoxin [iron-sulfur] cluster + 2 H2O,1-18:2-2-16:3-monogalactosyldiacylglycerol,1-18:3-2-16:3-monogalactosyldiacylglycerol,C43H72O10,748.5125485322,C43H70O10,746.4968984679999,-2.0157,-H2
1-18:2-2-18:2-digalactosyldiacylglycerol + 2 reduced ferredoxin [iron-sulfur] cluster + dioxygen + 2 H+  ->  1-18:2-2-18:3-digalactosyldiacylglycerol + 2 oxidized ferredoxin [iron-sulfur] cluster + 2 H2O,1-18:2-2-18:2-digalactosyldiacylglycerol,1-18:2-2-18:3-digalactosyldiacylglycerol,C51H88O15,940.6123221563,C51H86O15,938.5966720921,-2.0157,-H2
1-18:2-2-18:2-digalactosyldiacylglycerol + 2 reduced ferredoxin [iron-sulfur] cluster + dioxygen + 2 H+  ->  1-18:3-2-18:2-digalactosyldiacylglycerol + 2 oxidized ferredoxin [iron-sulfur] cluster + 2 H2O,1-18:2-2-18:2-digalactosyldiacylglycerol,1-18:3-2-18:2-digalactosyldiacylglycerol,C51H88O15,940.6123221563,C51H86O15,938.5966720921,-2.0157,-H2
1-18:2-2-18:2-monogalactosyldiacylglycerol + 2 reduced ferredoxin [iron-sulfur] cluster + dioxygen + 2 H+  ->  1-18:2-2-18:3-monogalactosyldiacylglycerol + 2 oxidized ferredoxin [iron-sulfur] cluster + 2 H2O,1-18:2-2-18:2-monogalactosyldiacylglycerol,1-18:2-2-18:3-monogalactosyldiacylglycerol,C45H78O10,778.5594987247999,C45H76O10,776.5438486606,-2.0157,-H2
1-18:2-2-18:2-monogalactosyldiacylglycerol + 2 reduced ferredoxin [iron-sulfur] cluster + dioxygen + 2 H+  ->  1-18:3-2-18:2-monogalactosyldiacylglycerol + 2 oxidized ferredoxin [iron-sulfur] cluster + 2 H2O,1-18:2-2-18:2-monogalactosyldiacylglycerol,1-18:3-2-18:2-monogalactosyldiacylglycerol,C45H78O10,778.5594987247999,C45H76O10,776.5438486606,-2.0157,-H2
1-18:2-2-18:3-digalactosyldiacylglycerol + 2 reduced ferredoxin [iron-sulfur] cluster + dioxygen + 2 H+  ->  1-18:3-2-18:3-digalactosyldiacylglycerol + 2 oxidized ferredoxin [iron-sulfur] cluster + 2 H2O,1-18:2-2-18:3-digalactosyldiacylglycerol,1-18:3-2-18:3-digalactosyldiacylglycerol,C51H86O15,938.5966720921,C51H84O15,936.5810220279,-2.0157,-H2
1-18:2-2-18:3-monogalactosyldiacylglycerol + 2 reduced ferredoxin [iron-sulfur] cluster + dioxygen + 2 H+  ->  1-18:3-2-18:3-monogalactosyldiacylglycerol + 2 oxidized ferredoxin [iron-sulfur] cluster + 2 H2O,1-18:2-2-18:3-monogalactosyldiacylglycerol,1-18:3-2-18:3-monogalactosyldiacylglycerol,C45H76O10,776.5438486606,C45H74O10,774.5281985964,-2.0157,-H2
1-18:3-2-16:0-monogalactosyldiacylglycerol + 2 reduced ferredoxin [iron-sulfur] cluster + dioxygen + 2 H+  ->  1-18:3-2-16:1-monogalactosyldiacylglycerol + 2 oxidized ferredoxin [iron-sulfur] cluster + 2 H2O,1-18:3-2-16:0-monogalactosyldiacylglycerol,1-18:3-2-16:1-monogalactosyldiacylglycerol,C43H76O10,752.5438486606,C43H74O10,750.5281985964,-2.0157,-H2
1-18:3-2-16:1-monogalactosyldiacylglycerol + 2 reduced ferredoxin [iron-sulfur] cluster + dioxygen + 2 H+  ->  1-18:3-2-16:2-monogalactosyldiacylglycerol + 2 oxidized ferredoxin [iron-sulfur] cluster + 2 H2O,1-18:3-2-16:1-monogalactosyldiacylglycerol,1-18:3-2-16:2-monogalactosyldiacylglycerol,C43H74O10,750.5281985964,C43H72O10,748.5125485322,-2.0157,-H2
1-18:3-2-16:2-monogalactosyldiacylglycerol + 2 reduced ferredoxin [iron-sulfur] cluster + dioxygen + 2 H+  ->  1-18:3-2-16:3-monogalactosyldiacylglycerol + 2 oxidized ferredoxin [iron-sulfur] cluster + 2 H2O,1-18:3-2-16:2-monogalactosyldiacylglycerol,1-18:3-2-16:3-monogalactosyldiacylglycerol,C43H72O10,748.5125485322,C43H70O10,746.4968984679999,-2.0157,-H2
1-18:3-2-16:3-monogalactosyldiacylglycerol  ->  1-18:3-2-16:4-monogalactosyldiacylglycerol + 2 H+,1-18:3-2-16:3-monogalactosyldiacylglycerol,1-18:3-2-16:4-monogalactosyldiacylglycerol,C43H70O10,746.4968984679999,C43H68O10,744.4812484038,-2.0157,-H2
1-18:3-2-18:2-digalactosyldiacylglycerol + 2 reduced ferredoxin [iron-sulfur] cluster + dioxygen + 2 H+  ->  1-18:3-2-18:3-digalactosyldiacylglycerol + 2 oxidized ferredoxin [iron-sulfur] cluster + 2 H2O,1-18:3-2-18:2-digalactosyldiacylglycerol,1-18:3-2-18:3-digalactosyldiacylglycerol,C51H86O15,938.5966720921,C51H84O15,936.5810220279,-2.0157,-H2
1-18:3-2-18:2-monogalactosyldiacylglycerol + 2 reduced ferredoxin [iron-sulfur] cluster + dioxygen + 2 H+  ->  1-18:3-2-18:3-monogalactosyldiacylglycerol + 2 oxidized ferredoxin [iron-sulfur] cluster + 2 H2O,1-18:3-2-18:2-monogalactosyldiacylglycerol,1-18:3-2-18:3-monogalactosyldiacylglycerol,C45H76O10,776.5438486606,C45H74O10,774.5281985964,-2.0157,-H2
1-aminocyclopropane-1-carboxylate + L-ascorbate + dioxygen  ->  ethene + dehydroascorbate + hydrogen cyanide + CO2 + 2 H2O,1-aminocyclopropane-1-carboxylate,ethene,C4H7NO2,101.0476784741,C2H4,28.0313001284,-73.0164,-C2-H3-N-O2
"1-chloro-2,4-dinitrobenzene + glutathione  ->  2,4-dinitrophenyl-S-glutathione + chloride + H+","1-chloro-2,4-dinitrobenzene","2,4-dinitrophenyl-S-glutathione",C6H3N2O4Cl,206.0094344335,C16H18N5O10S,477.1165626753,271.1071,C10-ClH15N3O6S
1-deoxycapsidiol + reduced [NADPH-hemoprotein reductase] + dioxygen  ->  capsidiol + oxidized [NADPH-hemoprotein reductase] + H2O,1-deoxycapsidiol,capsidiol,C15H24O,220.1827153925,C15H24O2,236.1776300146,15.9949,O
1-heptanal + dioxygen + H2O  ->  heptanoate + hydrogen peroxide + H+,1-heptanal,heptanoate,C7H14O,114.1044650715,C7H13O2,130.0993796936,15.9949,-HO
1-hydroxyglucobrassicin + S-adenosyl-L-methionine  ->  neoglucobrassicin + S-adenosyl-L-homocysteine + H+,1-hydroxyglucobrassicin,neoglucobrassicin,C16H19N2O10S2,464.0559362534,C17H21N2O10S2,478.0715863176,14.0157,CH2
1-kestotriose + H2O  ->  D-fructofuranose + sucrose,1-kestotriose,D-fructofuranose,C18H32O16,504.1690349808,C6H12O6,180.0633881178,-324.1056,-C12-H20-O10
"1-kestotriose + sucrose  ->  1,6-kestotetraose + D-glucopyranose",1-kestotriose,"1,6-kestotetraose",C18H32O16,504.1690349808,C24H42O21,666.2218584123,162.0528,C6H10O5
1-kestotriose + sucrose  ->  neokestose + sucrose,1-kestotriose,neokestose,C18H32O16,504.1690349808,C18H32O16,504.1690349808,0.0,No difference
1-linoleoyl-2-oleoyl-phosphatidylcholine + 2 ferrocytochrome b5 + dioxygen + 2 H+  ->  phosphatidylcholine (1-18:2-2-18:2) + 2 ferricytochrome b5 + 2 H2O,1-linoleoyl-2-oleoyl-phosphatidylcholine,phosphatidylcholine (1-18:2-2-18:2),C44H82NO8P,785.5934551884,C44H80NO8P,783.5778051242,-2.0157,-H2
1-linoleoyl-2-oleoyl-phosphatidylcholine + 2 ferrocytochrome b5 + dioxygen + 2 H+  ->  phosphatidylcholine (1-18:3-2-18:1) + 2 ferricytochrome b5 + 2 H2O,1-linoleoyl-2-oleoyl-phosphatidylcholine,phosphatidylcholine (1-18:3-2-18:1),C44H82NO8P,785.5934551884,C44H80NO8P,783.5778051242,-2.0157,-H2
1-linoleoyl-2-palmitoyl-phosphatidylglycerol + 2 reduced ferredoxin [iron-sulfur] cluster + dioxygen + 2 H+  ->  1-linoleoyl-2-(3E)-hexadecenoyl-phosphatidylglycerol + 2 oxidized ferredoxin [iron-sulfur] cluster + 2 H2O,1-linoleoyl-2-palmitoyl-phosphatidylglycerol,1-linoleoyl-2-(3E)-hexadecenoyl-phosphatidylglycerol,C40H74O10P,746.5097851385,C40H72O10P,744.4941350743001,-2.0157,-H2
1-naphthaldehyde + dioxygen + H2O  ->  1-naphthoate + hydrogen peroxide + H+,1-naphthaldehyde,1-naphthoate,C11H8O,156.0575148789,C11H7O2,172.052429501,15.9949,-HO
1-naphthol glucoside + malonyl-CoA  ->  1-naphthol 6'-O-malonylglucoside + coenzyme A,1-naphthol glucoside,1-naphthol 6'-O-malonylglucoside,C16H18O6,306.1103383104,C19H19O9,392.1107322409,86.0004,C3HO3
1-oleoyl-2-(3E)-hexadecenoyl-phosphatidylglycerol + 2 reduced ferredoxin [iron-sulfur] cluster + dioxygen + 2 H+  ->  1-linoleoyl-2-(3E)-hexadecenoyl-phosphatidylglycerol + 2 oxidized ferredoxin [iron-sulfur] cluster + 2 H2O,1-oleoyl-2-(3E)-hexadecenoyl-phosphatidylglycerol,1-linoleoyl-2-(3E)-hexadecenoyl-phosphatidylglycerol,C40H74O10P,746.5097851385,C40H72O10P,744.4941350743001,-2.0157,-H2
1-oleoyl-2-linoleoyl-phosphatidylcholine + 2 ferrocytochrome b5 + dioxygen + 2 H+  ->  phosphatidylcholine (1-18:1-2-18:3) + 2 ferricytochrome b5 + 2 H2O,1-oleoyl-2-linoleoyl-phosphatidylcholine,phosphatidylcholine (1-18:1-2-18:3),C44H82NO8P,785.5934551884,C44H80NO8P,783.5778051242,-2.0157,-H2
1-oleoyl-2-linoleoyl-phosphatidylcholine + 2 ferrocytochrome b5 + dioxygen + 2 H+  ->  phosphatidylcholine (1-18:2-2-18:2) + 2 ferricytochrome b5 + 2 H2O,1-oleoyl-2-linoleoyl-phosphatidylcholine,phosphatidylcholine (1-18:2-2-18:2),C44H82NO8P,785.5934551884,C44H80NO8P,783.5778051242,-2.0157,-H2
1-oleoyl-2-oleoyl-phosphatidylcholine + 2 ferrocytochrome b5 + dioxygen + 2 H+  ->  1-linoleoyl-2-oleoyl-phosphatidylcholine + 2 ferricytochrome b5 + 2 H2O,1-oleoyl-2-oleoyl-phosphatidylcholine,1-linoleoyl-2-oleoyl-phosphatidylcholine,C44H84NO8P,787.6091052526,C44H82NO8P,785.5934551884,-2.0157,-H2
1-oleoyl-2-oleoyl-phosphatidylcholine + 2 ferrocytochrome b5 + dioxygen + 2 H+  ->  1-oleoyl-2-linoleoyl-phosphatidylcholine + 2 ferricytochrome b5 + 2 H2O,1-oleoyl-2-oleoyl-phosphatidylcholine,1-oleoyl-2-linoleoyl-phosphatidylcholine,C44H84NO8P,787.6091052526,C44H82NO8P,785.5934551884,-2.0157,-H2
1-oleoyl-2-palmitoyl-phosphatidylglycerol + 2 reduced ferredoxin [iron-sulfur] cluster + dioxygen + 2 H+  ->  1-linoleoyl-2-palmitoyl-phosphatidylglycerol + 2 oxidized ferredoxin [iron-sulfur] cluster + 2 H2O,1-oleoyl-2-palmitoyl-phosphatidylglycerol,1-linoleoyl-2-palmitoyl-phosphatidylglycerol,C40H76O10P,748.5254352027,C40H74O10P,746.5097851385,-2.0157,-H2
1-oleoyl-2-palmitoyl-phosphatidylglycerol + 2 reduced ferredoxin [iron-sulfur] cluster + dioxygen + 2 H+  ->  1-oleoyl-2-(3E)-hexadecenoyl-phosphatidylglycerol + 2 oxidized ferredoxin [iron-sulfur] cluster + 2 H2O,1-oleoyl-2-palmitoyl-phosphatidylglycerol,1-oleoyl-2-(3E)-hexadecenoyl-phosphatidylglycerol,C40H76O10P,748.5254352027,C40H74O10P,746.5097851385,-2.0157,-H2
