Reaction Object ID,Reaction-List,Reactants of reaction,Reactants-Object ID,Reactants-Chemical Formula,Reactants-Monoisotopic-Molecular-Weight,Products of reaction,Products-Object ID,Products-Chemical Formula,Products-Monoisotopic-Molecular-Weight
RXN-8890,4-hydroxybutanoyl-CoA  ->  crotonyl-CoA + H2O,4-hydroxybutanoyl-CoA,4-HYDROXY-BUTYRYL-COA,C25H38N7O18P3S,853.1519878024d0,crotonyl-CoA // H<sub>2</sub>O,CROTONYL-COA // WATER,C25H36N7O17P3S // H2O,835.1414231161d0 // 18.0105646863d0
RXN-11447,4-hydroxybutylglucosinolate + benzoyl-CoA  ->  4-benzoyloxybutylglucosinolate + coenzyme A,4-hydroxybutylglucosinolate // benzoyl-CoA,CPDQT-274 // BENZOYLCOA,C11H20NO10S2 // C28H36N7O17P3S,391.06068728030004d0 // 871.1414231161d0,4-benzoyloxybutylglucosinolate // coenzyme A,CPD-12420 // CO-A,C18H24NO11S2 // C21H32N7O16P3S,495.08690203080005d0 // 767.1152083656d0
RXN-11449,4-hydroxybutylglucosinolate + sinapoyl-CoA  ->  4-sinapoyloxybutylglucosinolate + coenzyme A,4-hydroxybutylglucosinolate // sinapoyl-CoA,CPDQT-274 // SINAPOYL-COA,C11H20NO10S2 // C32H42N7O20P3S,391.06068728030004d0 // 973.1731171749999d0,4-sinapoyloxybutylglucosinolate // coenzyme A,CPD-12422 // CO-A,C22H30NO14S2 // C21H32N7O16P3S,597.1185960897d0 // 767.1152083656d0
RXN-2163,4-hydroxyglucobrassicin + S-adenosyl-L-methionine  ->  4-methoxyglucobrassicin + S-adenosyl-L-homocysteine + H+,<i>S</i>-adenosyl-L-methionine // 4-hydroxyglucobrassicin,S-ADENOSYLMETHIONINE // 4-HYDROXY-3-INDOLYLMETHYL-GLUCOSINOLATE,C15H23N6O5S // C16H19N2O10S2,400.1528886021d0 // 464.05593625340003d0,4-methoxyglucobrassicin // <i>S</i>-adenosyl-L-homocysteine // H<SUP>+</SUP>,4-METHOXY-3-INDOLYLMETHYL-GLUCOSINOLATE // ADENOSYL-HOMO-CYS // PROTON,C17H21N2O10S2 // C14H20N6O5S // H,478.0715863176d0 // 384.1215884737d0 // 1.0078250321d0
RXN-9750,"4-hydroxylamino-2,6-dinitrotoluene hydroxylaminoreductase","4-hydroxylamino-2,6-dinitrotoluene // a reduced two electron carrier // H<SUP>+</SUP>",CPD-10457 // Donor-H2 // PROTON,C7H7N3O5 //  // H,217.0698704792d0 // 1.0078250321d0,"4-amino-2,6-dinitrotoluene // H<sub>2</sub>O // an oxidized electron carrier",CPD-10455 // WATER // Acceptor,C7H8N3O4 // H2O // ,201.0749558571d0 // 18.0105646863d0
RXNQT-4360,4-methoxy-3-indolylmethyl glucosinolate aglycone  ->  4-methoxy-3-indolylmethylisothiocyanate + sulfate,4-methoxy-3-indolylmethyl glucosinolate aglycone,CPDQT-432,C11H10N2O5S2,316.01876288610003d0,4-methoxy-3-indolylmethylisothiocyanate // sulfate,CPDQT-433 // SULFATE,C11H10N2OS // O4S,218.0513836435d0 // 97.96737924259999d0
RXNQT-4361,4-methoxy-3-indolylmethylisothiocyanate + glutathione  ->  (glutathion-S-yl)-4-methoxy-3-indolylmethylisothiocyanate,4-methoxy-3-indolylmethylisothiocyanate // glutathione,CPDQT-433 // GLUTATHIONE,C11H10N2OS // C10H16N3O6S,218.0513836435d0 // 307.0838059839d0,(glutathion-<i>S</i>-yl)-4-methoxy-3-indolylmethylisothiocyanate,CPDQT-435,C21H26N5O7S2,525.1351896274d0
RXNQT-4359,4-methoxyglucobrassicin + H2O  ->  4-methoxy-3-indolylmethyl glucosinolate aglycone + D-glucopyranose + H+,4-methoxyglucobrassicin // H<sub>2</sub>O,4-METHOXY-3-INDOLYLMETHYL-GLUCOSINOLATE // WATER,C17H21N2O10S2 // H2O,478.0715863176d0 // 18.0105646863d0,4-methoxy-3-indolylmethyl glucosinolate aglycone // D-glucopyranose // H<SUP>+</SUP>,CPDQT-432 // Glucopyranose // PROTON,C11H10N2O5S2 // C6H12O6 // H,316.01876288610003d0 // 180.0633881178d0 // 1.0078250321d0
2KETO-4METHYL-PENTANOATE-DEHYDROG-RXN,4-methyl-2-oxopentanoate dehydrogenase (acylating),4-methyl-2-oxopentanoate // coenzyme A // NAD<sup>+</sup>,2K-4CH3-PENTANOATE // CO-A // NAD,C6H9O3 // C21H32N7O16P3S // C21H26N7O14P2,130.0629941873d0 // 767.1152083656d0 // 665.1247716966999d0,3-methylbutanoyl-CoA // CO<SUB>2</SUB> // NADH,ISOVALERYL-COA // CARBON-DIOXIDE // NADH,C26H40N7O17P3S // CO2 // C21H27N7O14P2,851.1727232444999d0 // 43.989829244199996d0 // 665.1247716966999d0
THI-P-SYN-RXN,4-methyl-5-(2-phosphooxyethyl)thiazole + 4-amino-2-methyl-5-(diphosphooxymethyl)pyrimidine + H+  ->  thiamine phosphate + diphosphate,H<SUP>+</SUP> // 4-methyl-5-(2-phosphooxyethyl)thiazole // 4-amino-2-methyl-5-(diphosphooxymethyl)pyrimidine,PROTON // THZ-P // AMINO-HYDROXYMETHYL-METHYLPYRIMIDINE-PP,H // C6H8NO4PS // C6H8N3O7P2,1.0078250321d0 // 223.00681501460002d0 // 299.0072227434d0,thiamine phosphate // diphosphate,THIAMINE-P // PPI,C12H16N4O4PS // HO7P2,346.0864623191d0 // 177.9432255031d0
RXN-12699,4-methylumbelliferyl glucoside + malonyl-CoA  ->  4-methylumbelliferone 6'-O-malonylglucoside + coenzyme A,4-methylumbelliferyl glucoside // malonyl-CoA,CPD-11641 // MALONYL-COA,C16H18O8 // C24H33N7O19P3S,338.1001675546d0 // 853.1156022961001d0,4-methylumbelliferone 6'-O-malonylglucoside // coenzyme A,CPD-13688 // CO-A,C19H19O11 // C21H32N7O16P3S,424.1005614851d0 // 767.1152083656d0
RXN-9747,"4-nitroso-2,6-dinitrotoluene nitrosoreductase","4-nitroso-2,6-dinitrotoluene // NADPH // H<SUP>+</SUP>",CPD-10453 // NADPH // PROTON,C7H5N3O5 // C21H26N7O17P3 // H,215.05422041499997d0 // 745.0911021051d0 // 1.0078250321d0,"4-hydroxylamino-2,6-dinitrotoluene // NADP<sup>+</sup>",CPD-10457 // NADP,C7H7N3O5 // C21H25N7O17P3,217.0698704792d0 // 745.0911021051d0
RXN-3164,4-O-(indol-3-ylacetyl)-beta-D-glucose + H2O  ->  (indol-3-yl)acetate + D-glucopyranose + H+,4-<i>O</i>-(indol-3-ylacetyl)-&beta;-D-glucose // H<sub>2</sub>O,INDOLE-3-ACETYL-BETA-4-D-GLUCOSE // WATER,C16H19NO7 // H2O,337.1161519698d0 // 18.0105646863d0,(indol-3-yl)acetate // D-glucopyranose // H<SUP>+</SUP>,INDOLE_ACETATE_AUXIN // Glucopyranose // PROTON,C10H8NO2 // C6H12O6 // H,175.0633285383d0 // 180.0633881178d0 // 1.0078250321d0
RXN-8727,"4-O-digalloyl-1,2,3,6-tetra-O-beta-D-galloylglucose + 1-O-galloyl-beta-D-glucose  ->  2,4-O-digalloyl-1,3,6-tri-O-beta-D-galloylglucose + D-glucopyranose","4-<i>O</i>-digalloyl-1,2,3,6-tetra-<i>O</i>-&beta;-<i>D</i>-galloylglucose // 1-O-galloyl-&beta;-D-glucose",CPD-8952 // 1-O-GALLOYL-BETA-D-GLUCOSE,C48H36O30 // C13H16O10,1092.1291398186d0 // 332.0743467346d0,"2,4-<i>O</i>-digalloyl-1,3,6-tri-<i>O</i>-&beta;-<i>D</i>-galloylglucose // D-glucopyranose",CPD-8956 // Glucopyranose,C55H40O34 // C6H12O6,1244.1400984354d0 // 180.0633881178d0
RXN-12208,4-O-methyl-D-myo-inosose + NADPH + H+  ->  D-pinitol + NADP+,4-<i>O</i>-methyl-D-<i>myo</i>-inosose // NADPH // H<SUP>+</SUP>,CPD-22515 // NADPH // PROTON,C7H12O6 // C21H26N7O17P3 // H,192.0633881178d0 // 745.0911021051d0 // 1.0078250321d0,D-pinitol // NADP<sup>+</sup>,CPD-8046 // NADP,C7H14O6 // C21H25N7O17P3,194.079038182d0 // 745.0911021051d0
RXN-12874,4-O-oxalyl-L-threonate + H2O  ->  L-threonate + oxalate + H+,4-<i>O</i>-oxalyl-L-threonate // H<sub>2</sub>O,CPD-13911 // WATER,C6H6O8 // H2O,208.0219172336d0 // 18.0105646863d0,L-threonate // oxalate // H<SUP>+</SUP>,L-THREONATE // OXALATE // PROTON,C4H7O5 // C2O4 // H,136.0371733673d0 // 89.9953085526d0 // 1.0078250321d0
RXN-20081,4-phosphooxy-L-aspartyl-[tRNAAsn] + ammonia  ->  L-asparaginyl-[tRNAAsn] + phosphate,a 4-phosphooxy-L-aspartyl-[tRNA<sup>Asn</sup>] // ammonia,4-Phosphooxy-L-aspartyl-tRNAAsn // AMMONIA, // H3N,17.0265491015d0,an L-asparaginyl-[tRNA<SUP>Asn</SUP>] // phosphate,Charged-ASN-tRNAs // Pi, // HO4P,97.9768950947d0
RXN-7813,4-prenylphlorisobutyrophenone + prenyl diphosphate  ->  deoxycohumulone + diphosphate,4-prenylphlorisobutyrophenone // prenyl diphosphate,4-PRENYLPHLORISOBUTYROPHENONE // CPD-4211,C15H19O4 // C5H9O7P2,264.1361591304d0 // 246.0058257599d0,deoxycohumulone // diphosphate,CPD-7107 // PPI,C20H27O4 // HO7P2,332.19875938719997d0 // 177.9432255031d0
RXN-7810,4-prenylphlorisovalerophenone + prenyl diphosphate  ->  deoxyhumulone + diphosphate,4-prenylphlorisovalerophenone // prenyl diphosphate,CPD-7109 // CPD-4211,C16H21O4 // C5H9O7P2,278.1518091946d0 // 246.0058257599d0,deoxyhumulone // diphosphate,CPD-7105 // PPI,C21H29O4 // HO7P2,346.2144094514d0 // 177.9432255031d0
RXN3O-4113,4-tyrosol + NAD+  <-  (4-hydroxyphenyl)acetaldehyde + NADH + H+,H<SUP>+</SUP> // (4-hydroxyphenyl)acetaldehyde // NADH,PROTON // HYDRPHENYLAC-CPD // NADH,H // C8H8O2 // C21H27N7O14P2,1.0078250321d0 // 136.052429501d0 // 665.1247716966999d0,4-tyrosol // NAD<sup>+</sup>,CPD3O-4151 // NAD,C8H10O2 // C21H26N7O14P2,138.0680795652d0 // 665.1247716966999d0
RXN-12370,4-tyrosol + UDP-alpha-D-glucose  ->  salidroside + UDP + H+,4-tyrosol // UDP-&alpha;-D-glucose,CPD3O-4151 // CPD-12575,C8H10O2 // C15H22N2O17P2,138.0680795652d0 // 566.0550203765d0,salidroside // UDP // H<SUP>+</SUP>,CPD-13354 // UDP // PROTON,C14H20O7 // C9H11N2O12P2 // H,300.1209029967d0 // 404.002196945d0 // 1.0078250321d0
RXN-13908,"4a-hydroxy-N10-formyltetrahydrofolate  ->  an N10-formyl-7,8-dihydrofolate + H2O",4a-hydroxy-N<sup>10</sup>-formyltetrahydrofolate,CPD-14931,,,"an <i>N</i><sup>10</sup>-formyl-7,8-dihydrofolate // H<sub>2</sub>O",10-FORMYL-DIHYDROFOLATE-GLU-N // WATER, // H2O,18.0105646863d0
RXN-20445,"4alpha, 14alpha-dimethyl ergosta-8,25(27)-dienol + 3 reduced [NADPH-hemoprotein reductase] + 3 dioxygen  ->  4alpha-methyl ergosta-8,14,25(27)-trienol + formate + 3 oxidized [NADPH-hemoprotein reductase] + 4 H2O + H+","4&alpha;, 14&alpha;-dimethyl ergosta-8,25(27)-dienol // dioxygen // a reduced [NADPH-hemoprotein reductase]",CPD-14889 // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases,C30H50O // O2 // ,426.3861662271d0 // 31.9898292442d0,"4&alpha;-methyl ergosta-8,14,25(27)-trienol // formate // an oxidized [NADPH-hemoprotein reductase] // H<sub>2</sub>O // H<SUP>+</SUP>",CPD-22139 // FORMATE // Ox-NADPH-Hemoprotein-Reductases // WATER // PROTON,C29H46O // CHO2 //  // H2O // H,410.3548660987d0 // 46.0054793084d0 // 18.0105646863d0 // 1.0078250321d0
RXN-11881,"4alpha,14alpha-dimethyl-5alpha-cholesta-8,24-dien-3beta-ol + 3 reduced [NADPH-hemoprotein reductase] + 3 dioxygen  ->  4alpha-methyl-5alpha-cholesta-8,14,24-trien-3beta-ol + formate + 3 oxidized [NADPH-hemoprotein reductase] + 4 H2O + H+","4&alpha;,14&alpha;-dimethyl-5&alpha;-cholesta-8,24-dien-3&beta;-ol // dioxygen // a reduced [NADPH-hemoprotein reductase]",CPD-12852 // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases,C29H48O // O2 // ,412.3705161629d0 // 31.9898292442d0,"4&alpha;-methyl-5&alpha;-cholesta-8,14,24-trien-3&beta;-ol // formate // H<sub>2</sub>O // an oxidized [NADPH-hemoprotein reductase] // H<SUP>+</SUP>",CPD-12853 // FORMATE // WATER // Ox-NADPH-Hemoprotein-Reductases // PROTON,C28H44O // CHO2 // H2O //  // H,396.3392160345d0 // 46.0054793084d0 // 18.0105646863d0 // 1.0078250321d0
RXN-11950,"4alpha,14alpha-dimethyl-9beta,19-cyclo-5alpha-cholest-24-en-3-one + 2 NADPH + 2 H+  ->  2 31-norcycloartenol + 2 NADP+","H<SUP>+</SUP> // NADPH // 4&alpha;,14&alpha;-dimethyl-9&beta;,19-cyclo-5&alpha;-cholest-24-en-3-one",PROTON // NADPH // CPD-12920,H // C21H26N7O17P3 // C29H46O,1.0078250321d0 // 745.0911021051d0 // 410.3548660987d0,NADP<sup>+</sup> // 31-norcycloartenol,NADP // CPD-12850,C21H25N7O17P3 // C29H48O,745.0911021051d0 // 412.3705161629d0
RXN-20438,"4alpha,14alpha-dimethyl-cholesta-8-enol + 3 reduced [NADPH-hemoprotein reductase] + 3 dioxygen  ->  4alpha-methyl-cholesta-8,14-dienol + formate + 3 oxidized [NADPH-hemoprotein reductase] + 4 H2O + H+","4&alpha;,14&alpha;-dimethyl-cholesta-8-enol // dioxygen // a reduced [NADPH-hemoprotein reductase]",CPD-4182 // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases,C29H50O // O2 // ,414.3861662271d0 // 31.9898292442d0,"4&alpha;-methyl-cholesta-8,14-dienol // formate // H<sub>2</sub>O // an oxidized [NADPH-hemoprotein reductase] // H<SUP>+</SUP>",CPD-4183 // FORMATE // WATER // Ox-NADPH-Hemoprotein-Reductases // PROTON,C28H46O // CHO2 // H2O //  // H,398.3548660987d0 // 46.0054793084d0 // 18.0105646863d0 // 1.0078250321d0
RXN-13895,"4alpha,14alpha-dimethyl-porifersta-8,25(27)-dienol  ->  porifersta-8,25(27)-dienol","4&alpha;,14&alpha;-dimethyl-porifersta-8,25(27)-dienol",CPD-14905,C31H52O,440.4018162913d0,"porifersta-8,25(27)-dienol",CPD-14903,C29H48O,412.3705161629d0
RXN-11949,"4alpha-carboxy,4beta,14alpha-dimethyl-9beta,19-cyclo-5alpha-cholest-24-en-3beta-ol + 2 NAD+  ->  2 CO2 + 4alpha,14alpha-dimethyl-9beta,19-cyclo-5alpha-cholest-24-en-3-one + 2 NADH","NAD<sup>+</sup> // 4&alpha;-carboxy,4&beta;,14&alpha;-dimethyl-9&beta;,19-cyclo-5&alpha;-cholest-24-en-3&beta;-ol",NAD // CPD-12919,C21H26N7O14P2 // C30H47O3,665.1247716966999d0 // 456.3603454071d0,"CO<SUB>2</SUB> // NADH // 4&alpha;,14&alpha;-dimethyl-9&beta;,19-cyclo-5&alpha;-cholest-24-en-3-one",CARBON-DIOXIDE // NADH // CPD-12920,CO2 // C21H27N7O14P2 // C29H46O,43.989829244199996d0 // 665.1247716966999d0 // 410.3548660987d0
RXN-11928,"4alpha-carboxy-4beta,14alpha-dimethyl-9beta,19-cyclo-5alpha-ergost-24(241)-en-3beta-ol + NAD+  ->  cycloeucalenone + CO2 + NADH","4&alpha;-carboxy-4&beta;,14&alpha;-dimethyl-9&beta;,19-cyclo-5&alpha;-ergost-24(24<sup>1</sup>)-en-3&beta;-ol // NAD<sup>+</sup>",CPD-12867 // NAD,C31H49O3 // C21H26N7O14P2,470.3759954713d0 // 665.1247716966999d0,cycloeucalenone // NADH // CO<SUB>2</SUB>,CPD-12868 // NADH // CARBON-DIOXIDE,C30H48O // C21H27N7O14P2 // CO2,424.3705161629d0 // 665.1247716966999d0 // 43.989829244199996d0
RXN66-313,"4alpha-carboxy-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol + NAD(P)+  ->  3-dehydro-4-methylzymosterol + CO2 + NAD(P)H","4&alpha;-carboxy-4&beta;-methyl-5&alpha;-cholesta-8,24-dien-3&beta;-ol // NAD(P)<sup>+</sup>",CPD-4577 // NAD-P-OR-NOP,C29H45O3 // ,442.34469534289997d0,3-dehydro-4-methylzymosterol // NAD(P)H // CO<SUB>2</SUB>,CPD-4578 // NADH-P-OR-NOP // CARBON-DIOXIDE,C28H44O //  // CO2,396.3392160345d0 // 43.989829244199996d0
RXN-20441,4alpha-carboxy-5alpha-cholest-7-en-3beta-ol + NAD+  ->  lathosterone + CO2 + NADH,4&alpha;-carboxy-5&alpha;-cholest-7-en-3&beta;-ol // NAD<sup>+</sup>,CPD-22136 // NAD,C28H45O3 // C21H26N7O14P2,430.34469534289997d0 // 665.1247716966999d0,lathosterone // NADH // CO<SUB>2</SUB>,CPD-22137 // NADH // CARBON-DIOXIDE,C27H44O // C21H27N7O14P2 // CO2,384.3392160345d0 // 665.1247716966999d0 // 43.989829244199996d0
RXN-11959,"4alpha-carboxy-5alpha-cholesta-7,24-dien-3beta-ol + NAD+  ->  5alpha-cholesta-7,24-dien-3-one + CO2 + NADH","4&alpha;-carboxy-5&alpha;-cholesta-7,24-dien-3&beta;-ol // NAD<sup>+</sup>",CPD-12928 // NAD,C28H43O3 // C21H26N7O14P2,428.3290452787d0 // 665.1247716966999d0,"5&alpha;-cholesta-7,24-dien-3-one // NADH // CO<SUB>2</SUB>",CPD-12929 // NADH // CARBON-DIOXIDE,C27H42O // C21H27N7O14P2 // CO2,382.32356597029997d0 // 665.1247716966999d0 // 43.989829244199996d0
RXN66-318,"4alpha-carboxy-5alpha-cholesta-8,24-dien-3beta-ol + NAD(P)+  ->  zymosterone + CO2 + NAD(P)H","4&alpha;-carboxy-5&alpha;-cholesta-8,24-dien-3&beta;-ol // NAD(P)<sup>+</sup>",CPD-4702 // NAD-P-OR-NOP,C28H43O3 // ,428.3290452787d0,zymosterone // NAD(P)H // CO<SUB>2</SUB>,CPD-4581 // NADH-P-OR-NOP // CARBON-DIOXIDE,C27H42O //  // CO2,382.32356597029997d0 // 43.989829244199996d0
RXN-11933,"4alpha-carboxy-ergosta-7,24(241)-dien-3beta-ol + NAD+  ->  episterone + CO2 + NADH","4&alpha;-carboxy-ergosta-7,24(24<sup>1</sup>)-dien-3&beta;-ol // NAD<sup>+</sup>",CPD-12909 // NAD,C29H45O3 // C21H26N7O14P2,442.34469534289997d0 // 665.1247716966999d0,episterone // NADH // CO<SUB>2</SUB>,CPD-12910 // NADH // CARBON-DIOXIDE,C28H44O // C21H27N7O14P2 // CO2,396.3392160345d0 // 665.1247716966999d0 // 43.989829244199996d0
RXN-20412,"4alpha-carboxy-ergosta-8,25(27)-dienol + H+  ->  ergosta-8,25(27)-dienol + CO2","4&alpha;-carboxy-ergosta-8,25(27)-dienol // H<SUP>+</SUP>",CPD-22099 // PROTON,C29H45O3 // H,442.34469534289997d0 // 1.0078250321d0,"ergosta-8,25(27)-dienol // CO<SUB>2</SUB>",CPD-14891 // CARBON-DIOXIDE,C28H46O // CO2,398.3548660987d0 // 43.989829244199996d0
RXN-11948,"4alpha-formyl,4beta,14alpha-dimethyl-9beta,19-cyclo-5alpha-cholest-24-en-3beta-ol + 2 ferrocytochrome b5 + dioxygen + H+  ->  4alpha-carboxy,4beta,14alpha-dimethyl-9beta,19-cyclo-5alpha-cholest-24-en-3beta-ol + 2 ferricytochrome b5 + H2O","4&alpha;-formyl,4&beta;,14&alpha;-dimethyl-9&beta;,19-cyclo-5&alpha;-cholest-24-en-3&beta;-ol // a ferrocytochrome <i>b<SUB>5</SUB></i> // dioxygen // H<SUP>+</SUP>",CPD-12918 // FERROCYTOCHROME-B5 // OXYGEN-MOLECULE // PROTON,C30H48O2 //  // O2 // H,440.365430785d0 // 31.9898292442d0 // 1.0078250321d0,"4&alpha;-carboxy,4&beta;,14&alpha;-dimethyl-9&beta;,19-cyclo-5&alpha;-cholest-24-en-3&beta;-ol // a ferricytochrome <i>b<sub>5</sub></i> // H<sub>2</sub>O",CPD-12919 // FERRICYTOCHROME-B5 // WATER,C30H47O3 //  // H2O,456.3603454071d0 // 18.0105646863d0
RXN-11958,"4alpha-formyl-5alpha-cholesta-7,24-dien-3beta-ol + 2 ferrocytochrome b5 + dioxygen + H+  ->  4alpha-carboxy-5alpha-cholesta-7,24-dien-3beta-ol + 2 ferricytochrome b5 + H2O","4&alpha;-formyl-5&alpha;-cholesta-7,24-dien-3&beta;-ol // dioxygen // a ferrocytochrome <i>b<SUB>5</SUB></i> // H<SUP>+</SUP>",CPD-12927 // OXYGEN-MOLECULE // FERROCYTOCHROME-B5 // PROTON,C28H44O2 // O2 //  // H,412.3341306566d0 // 31.9898292442d0 // 1.0078250321d0,"4&alpha;-carboxy-5&alpha;-cholesta-7,24-dien-3&beta;-ol // a ferricytochrome <i>b<sub>5</sub></i> // H<sub>2</sub>O",CPD-12928 // FERRICYTOCHROME-B5 // WATER,C28H43O3 //  // H2O,428.3290452787d0 // 18.0105646863d0
RXN-11947,"4alpha-hydroxymethyl,4beta,14alpha-dimethyl-9beta,19-cyclo-5alpha-cholest-24-en-3beta-ol + 2 ferrocytochrome b5 + dioxygen + 2 H+  ->  4alpha-formyl,4beta,14alpha-dimethyl-9beta,19-cyclo-5alpha-cholest-24-en-3beta-ol + 2 ferricytochrome b5 + 2 H2O","4&alpha;-hydroxymethyl,4&beta;,14&alpha;-dimethyl-9&beta;,19-cyclo-5&alpha;-cholest-24-en-3&beta;-ol // a ferrocytochrome <i>b<SUB>5</SUB></i> // dioxygen // H<SUP>+</SUP>",CPD-12916 // FERROCYTOCHROME-B5 // OXYGEN-MOLECULE // PROTON,C30H50O2 //  // O2 // H,442.3810808492d0 // 31.9898292442d0 // 1.0078250321d0,"4&alpha;-formyl,4&beta;,14&alpha;-dimethyl-9&beta;,19-cyclo-5&alpha;-cholest-24-en-3&beta;-ol // a ferricytochrome <i>b<sub>5</sub></i> // H<sub>2</sub>O",CPD-12918 // FERRICYTOCHROME-B5 // WATER,C30H48O2 //  // H2O,440.365430785d0 // 18.0105646863d0
RXN-11957,"4alpha-hydroxymethyl-5alpha-cholesta-7,24-dien-3beta-ol + 2 ferrocytochrome b5 + dioxygen + 2 H+  ->  4alpha-formyl-5alpha-cholesta-7,24-dien-3beta-ol + 2 ferricytochrome b5 + 2 H2O","4&alpha;-hydroxymethyl-5&alpha;-cholesta-7,24-dien-3&beta;-ol // dioxygen // a ferrocytochrome <i>b<SUB>5</SUB></i> // H<SUP>+</SUP>",CPD-12917 // OXYGEN-MOLECULE // FERROCYTOCHROME-B5 // PROTON,C28H46O2 // O2 //  // H,414.34978072079997d0 // 31.9898292442d0 // 1.0078250321d0,"4&alpha;-formyl-5&alpha;-cholesta-7,24-dien-3&beta;-ol // a ferricytochrome <i>b<sub>5</sub></i> // H<sub>2</sub>O",CPD-12927 // FERRICYTOCHROME-B5 // WATER,C28H44O2 //  // H2O,412.3341306566d0 // 18.0105646863d0
RXN-20414,"4alpha-methyl ergosta-8,25(27)-dienol + 6 ferrocytochrome b5 + 3 dioxygen + 5 H+  ->  4alpha-carboxy-ergosta-8,25(27)-dienol + 6 ferricytochrome b5 + 4 H2O","4&alpha;-methyl ergosta-8,25(27)-dienol // a ferrocytochrome <i>b<SUB>5</SUB></i> // dioxygen // H<SUP>+</SUP>",CPD-22101 // FERROCYTOCHROME-B5 // OXYGEN-MOLECULE // PROTON,C29H48O //  // O2 // H,412.3705161629d0 // 31.9898292442d0 // 1.0078250321d0,"4&alpha;-carboxy-ergosta-8,25(27)-dienol // a ferricytochrome <i>b<sub>5</sub></i> // H<sub>2</sub>O",CPD-22099 // FERRICYTOCHROME-B5 // WATER,C29H45O3 //  // H2O,442.34469534289997d0 // 18.0105646863d0
RXN-20446,"4alpha-methyl ergosta-8,25(27)-dienol + NADP+  <-  4alpha-methyl ergosta-8,14,25(27)-trienol + NADPH + H+","4&alpha;-methyl ergosta-8,14,25(27)-trienol // NADPH // H<SUP>+</SUP>",CPD-22139 // NADPH // PROTON,C29H46O // C21H26N7O17P3 // H,410.3548660987d0 // 745.0911021051d0 // 1.0078250321d0,"4&alpha;-methyl ergosta-8,25(27)-dienol // NADP<sup>+</sup>",CPD-22101 // NADP,C29H48O // C21H25N7O17P3,412.3705161629d0 // 745.0911021051d0
RXN-4286,4alpha-methyl-5alpha-cholest-7-en-3beta-ol  <-->  4alpha-methyl-5alpha-cholesta-8-en-3-ol,4&alpha;-methyl-5&alpha;-cholest-7-en-3&beta;-ol,4-ALPHA-METHYL-5-ALPHA,C28H48O,400.3705161629d0,4&alpha;-methyl-5&alpha;-cholesta-8-en-3-ol,CPD-4184,C28H48O,400.3705161629d0
RXN-20440,4alpha-methyl-5alpha-cholest-7-en-3beta-ol + 6 ferrocytochrome b5 + 3 dioxygen + 5 H+  ->  4alpha-carboxy-5alpha-cholest-7-en-3beta-ol + 6 ferricytochrome b5 + 4 H2O,4&alpha;-methyl-5&alpha;-cholest-7-en-3&beta;-ol // a ferrocytochrome <i>b<SUB>5</SUB></i> // dioxygen // H<SUP>+</SUP>,4-ALPHA-METHYL-5-ALPHA // FERROCYTOCHROME-B5 // OXYGEN-MOLECULE // PROTON,C28H48O //  // O2 // H,400.3705161629d0 // 31.9898292442d0 // 1.0078250321d0,4&alpha;-carboxy-5&alpha;-cholest-7-en-3&beta;-ol // a ferricytochrome <i>b<sub>5</sub></i> // H<sub>2</sub>O,CPD-22136 // FERRICYTOCHROME-B5 // WATER,C28H45O3 //  // H2O,430.34469534289997d0 // 18.0105646863d0
RXN-11884,"4alpha-methyl-5alpha-cholesta-7,24-dien-3beta-ol  <-->  4alpha-methyl-zymosterol","4&alpha;-methyl-5&alpha;-cholesta-7,24-dien-3&beta;-ol",CPD-12860,C28H46O,398.3548660987d0,4&alpha;-methyl-zymosterol,4-METHYL-824-CHOLESTADIENOL,C28H46O,398.3548660987d0
RXN-11956,"4alpha-methyl-5alpha-cholesta-7,24-dien-3beta-ol + 2 ferrocytochrome b5 + dioxygen + 2 H+  ->  4alpha-hydroxymethyl-5alpha-cholesta-7,24-dien-3beta-ol + 2 ferricytochrome b5 + H2O","4&alpha;-methyl-5&alpha;-cholesta-7,24-dien-3&beta;-ol // dioxygen // a ferrocytochrome <i>b<SUB>5</SUB></i> // H<SUP>+</SUP>",CPD-12860 // OXYGEN-MOLECULE // FERROCYTOCHROME-B5 // PROTON,C28H46O // O2 //  // H,398.3548660987d0 // 31.9898292442d0 // 1.0078250321d0,"4&alpha;-hydroxymethyl-5&alpha;-cholesta-7,24-dien-3&beta;-ol // a ferricytochrome <i>b<sub>5</sub></i> // H<sub>2</sub>O",CPD-12917 // FERRICYTOCHROME-B5 // WATER,C28H46O2 //  // H2O,414.34978072079997d0 // 18.0105646863d0
