kegg1,kegg2,smiles1,smiles2,mass1,mass2,formula1,formula2,Δm/z,mzDiff,REACTION ID,ENZYME ID,COMMENT,PATHWAY
C01851,C03325,CN1[C@@H]2CC(C[C@H]1C3C2O3)OC(=O)[C@H](CO)C4=CC=CC=C4,CN1C2C[C@@H](CC1C(C2)O)OC(=O)C(CO)C3=CC=CC=C3,303.1471,305.1627,C17H21NO4,C17H23NO4,-2.0156,2.0156 ,R03737,1.14.20.13,0,"rn00960: Tropane, piperidine and pyridine alkaloid biosynthesis///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites"
C06564,C06565,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)CCC[C@H](C(=O)O)N)C(=O)O)C,CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)CCC[C@H](C(=O)O)N)SC1)C(=O)O,359.1151,357.0995,C14H21N3O6S,C14H19N3O6S,2.0156,2.0156 ,R05301,1.14.20.1,0,rn00311: Penicillin and cephalosporin biosynthesis///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites
C20397,C20407,CC1(C[C@H]2C=C([C@H]3[C@]2(C1)[C@@]4(CO4)C(=O)OC3)C(=O)O)C,C[C@H]1[C@H]2C=C([C@H]3[C@]2(C=C1C)[C@@]4(CO4)C(=O)OC3)C(=O)O,278.1154,276.0998,C15H18O5,C15H16O5,2.0156,2.0156 ,R10162,1.14.19.8,0,rn00998: Biosynthesis of various antibiotics///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites
C15795,C15796,C[C@H](C[C@@H]([C@@H](C)[C@H]1CCC2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)O)C(C)C,C[C@H](C[C@@H]([C@@H](C)[C@H]1CCC2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)O)C(C)C,416.3654,414.3498,C28H48O2,C28H46O2,2.0156,2.0156 ,R07446,1.14.19.79,0,rn00905: Brassinosteroid biosynthesis///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites
C03329,C04118,COC1=C(C2=C(C[C@H]3C4=CC5=C(C=C4CCN3C2)OCO5)C=C1)OC,COC1=C(C2=C(C[C@H]3C4=CC(=C(C=C4CCN3C2)OC)O)C=C1)OC,339.1471,341.1627,C20H21NO4,C20H23NO4,-2.0156,2.0156 ,R04400,1.14.19.68,0,rn00950: Isoquinoline alkaloid biosynthesis///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites
C05178,C05179,CN1CCC2=CC(=C(C=C2[C@H]1CC3=CC(=C(C=C3)OC)O)O)OC,CN1CC[C@]23C=C(C(=O)C=C2[C@H]1CC4=C3C(=C(C=C4)OC)O)OC,329.1627,327.1471,C19H23NO4,C19H21NO4,2.0156,2.0156 ,R04696,1.14.19.67,0,rn00950: Isoquinoline alkaloid biosynthesis///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites
C05174,C05175,COC1=C(C=C2[C@@H]3CC4=C(CN3CCC2=C1)C5=C(C=C4)OCO5)O,C1CN2CC3=C(C[C@H]2C4=CC5=C(C=C41)OCO5)C=CC6=C3OCO6,325.1314,323.1158,C19H19NO4,C19H17NO4,2.0156,2.0156 ,R04690,1.14.19.64,0,rn00950: Isoquinoline alkaloid biosynthesis///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites
C01512,C01957,C[C@H]1[C@H](C[C@H]2[C@@H]1[C@@H](OC=C2C(=O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O,C=C[C@@H]1[C@@H](C(=CO[C@H]1O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)C(=O)O)CC=O,376.1369,374.1213,C16H24O10,C16H22O10,2.0156,2.0156 ,R05833,1.14.19.62,0,rn00902: Monoterpenoid biosynthesis///rn01110: Biosynthesis of secondary metabolites
C02105,C17591,CN1CCC2=CC(=C(C=C2[C@@H]1CC3=CC(=C(C=C3)OC)O)O)OC,CN1CCC2=CC(=C(C3=C2[C@@H]1CC4=C3C(=C(C=C4)OC)O)O)OC,329.1627,327.1471,C19H23NO4,C19H21NO4,2.0156,2.0156 ,R08790,1.14.19.51,CYP80G2,rn00950: Isoquinoline alkaloid biosynthesis///rn01110: Biosynthesis of secondary metabolites
C01595,C07289,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,CCCCCC#CC/C=C\CCCCCCCC(=O)O,280.2402,278.2246,C18H32O2,C18H30O2,2.0156,2.0156 ,R05740,1.14.19.39,0,rn00591: Linoleic acid metabolism
C16162,C16163,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O,CC/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O,1027.3292,1025.3136,C39H64N7O17P3S,C39H62N7O17P3S,2.0156,2.0156 ,R07933,1.14.19.3,0,rn01040: Biosynthesis of unsaturated fatty acids///rn01212: Fatty acid metabolism
C15782,C15783,C/C=C(/CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3C2=CC[C@@H]4[C@@]3(CC[C@@H](C4)O)C)C)\C(C)C,C/C=C(/CC[C@@H](C)C1CCC2[C@@]1(CCC3C2=CC=C4[C@@]3(CC[C@@H](C4)O)C)C)\C(C)C,412.3705,410.3549,C29H48O,C29H46O,2.0156,2.0156 ,R07486,1.14.19.20,0,rn00100: Steroid biosynthesis///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites
C04185,C17938,C1=C2C=C(NC2=CC(=C1O)O)C(=O)O,C1=C2C=C(NC2=CC(=O)C1=O)C(=O)O,193.0375,191.0219,C9H7NO4,C9H5NO4,2.0156,2.0156 ,R08965,1.14.18.-,"5,6-dihydroxyindole-2-carboxylate oxidase",rn00350: Tyrosine metabolism///rn01100: Metabolic pathways
C01124,C01780,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)CO)O,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C=O)O,362.2093,360.1937,C21H30O5,C21H28O5,2.0156,2.0156 ,R03263,1.14.15.4///1.14.15.5,0,rn00140: Steroid hormone biosynthesis///rn01100: Metabolic pathways
C17954,C17955,C[C@H]1CC(=O)C2=C(C([C@H]3CC[C@@]12C3)(C)C)C,C[C@H]1C[C@H](C2=C(C([C@H]3CC[C@@]12C3)(C)C)C)O,218.1671,220.1827,C15H22O,C15H24O,-2.0156,2.0156 ,R08854,1.14.15.39,"the second step of two-step reaction (see R10072, R08853+R08854)///(S)-form (see R08851+R08852)",rn00909: Sesquiterpenoid and triterpenoid biosynthesis///rn01110: Biosynthesis of secondary metabolites
C19938,C19939,C[C@@H]1CC[C@@H]2C13CC(C[C@H]3C=C2CO)(C)C,C[C@@H]1CC[C@@H]2C13CC(C[C@H]3C=C2C=O)(C)C,220.1827,218.1671,C15H24O,C15H22O,2.0156,2.0156 ,R09813,1.14.15.32,"the second step of two-step reaction (see R09814, R09812+R09813)",0
C19676,C19677,C/C/1=C\CC/C(=C/C[C@@H](CC1)C(=C)CO)/C,C/C/1=C\CC/C(=C/C[C@@H](CC1)C(=C)C=O)/C,220.1827,218.1671,C15H24O,C15H22O,2.0156,2.0156 ,R12129,1.14.14.95,"the second step of three-step reaction (see R12128, R09549+R12129+R12130)",0
C11872,C11873,C[C@]1(CCC[C@@]2([C@@H]1CC[C@]34[C@H]2CC[C@H](C3)C(=C)C4)C)CO,C[C@]1(CCC[C@@]2([C@@H]1CC[C@]34[C@H]2CC[C@H](C3)C(=C)C4)C)C=O,288.2453,286.2297,C20H32O,C20H30O,2.0156,2.0156 ,R06292,1.14.14.86,"the second step of three-step reaction (see R10066, R06291+R06292+R06293)",rn00904: Diterpenoid biosynthesis///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites
C15794,C15803,C[C@@H]([C@H]1CCC2[C@@]1(CC[C@H]3[C@H]2CC(=O)[C@@H]4[C@@]3(C[C@H]([C@H](C4)O)O)C)C)[C@H]([C@@H]([C@@H](C)C(C)C)O)O,C[C@@H]([C@H]1CCC2[C@@]1(CC[C@H]3[C@H]2C[C@@H]([C@@H]4[C@@]3(C[C@H]([C@H](C4)O)O)C)O)C)[C@H]([C@@H]([C@@H](C)C(C)C)O)O,464.3502,466.3658,C28H48O5,C28H50O5,-2.0156,2.0156 ,R07451,1.14.14.179,"the second step of two-step reaction (see R10669, R07450+R07451)///following after R07450",rn00905: Brassinosteroid biosynthesis///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites
C09737,C19711,C[C@@H]1CC(=O)C=C([C@]12CC[C@H](C2)C(=C)C)C,C[C@@H]1C[C@@H](C=C([C@]12CC[C@H](C2)C(=C)C)C)O,218.1671,220.1827,C15H22O,C15H24O,-2.0156,2.0156 ,R09577,1.14.14.151,"the second step of two-step reaction (see R10073, R09576+R09577)",rn00909: Sesquiterpenoid and triterpenoid biosynthesis///rn01110: Biosynthesis of secondary metabolites
C11882,C11887,CC(C)C1=CC2=CC[C@H]3[C@](CCC[C@@]3([C@H]2CC1)C)(C)CO,CC(C)C1=CC2=CC[C@H]3[C@](CCC[C@@]3([C@H]2CC1)C)(C)C=O,288.2453,286.2297,C20H32O,C20H30O,2.0156,2.0156 ,R06354,1.14.14.145,0,rn00904: Diterpenoid biosynthesis///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites
C09893,C18025,C[C@@H]1CCC(=C(C)C)C(=O)C1,C[C@@H]1CCC2=C(C1)OC=C2C,152.1201,150.1045,C10H16O,C10H14O,2.0156,2.0156 ,R08923,1.14.14.143,"multi-step reaction (9-hydroxylation, cyclization and dehydration)",rn00902: Monoterpenoid biosynthesis///rn01110: Biosynthesis of secondary metabolites
C05294,C05295,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@]34CO,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@]34C=O,304.2038,302.1882,C19H28O3,C19H26O3,2.0156,2.0156 ,R04761,1.14.14.14,"aromatase, ARO///following after R02501///subsequently R03087",rn00140: Steroid hormone biosynthesis///rn01100: Metabolic pathways
C20510,C20511,C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)(C)CO,C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)(C)C=O,456.3603,454.3447,C30H48O3,C30H46O3,2.0156,2.0156 ,R10314,1.14.14.115,"the second step of three-step reaction (see R10316, R10313+R10314+R10315)",0
C20307,C20308,C[C@@H]1CC[C@H]([C@@H]2[C@H]1CCC(=C2)C)C(=C)CO,C[C@@H]1CC[C@H]([C@@H]2[C@H]1CCC(=C2)C)C(=C)C=O,220.1827,218.1671,C15H24O,C15H22O,2.0156,2.0156 ,R10024,1.14.14.114,"the second step of three-step reaction (see R10026, R10023+R10024+R10025)",0
C20147,C20148,C[C@]1(CC[C@@H]2C(=CC[C@@H]3[C@@]2(CCC[C@]3(C)CO)C)C1)C=C,C[C@]1(CC[C@@H]2C(=CC[C@@H]3[C@@]2(CCC[C@]3(C)C=O)C)C1)C=C,288.2453,286.2297,C20H32O,C20H30O,2.0156,2.0156 ,R09863,1.14.14.111,"the second step of three-step reaction (see R09865, R09862+R09863+R09864)",0
C07185,C16648,CCCC(CCC)C(=O)O,CCCC(CC=C)C(=O)O,144.115,142.0994,C8H16O2,C8H14O2,2.0156,2.0156 ,R08324,1.14.14.-,"CYP2C9, CYP2A6, CYP2B6///incomplete reaction",rn00982: Drug metabolism - cytochrome P450
C12431,C12432,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5O)O)(C(C)O)O)N)O,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5O)O)(C(=O)C)O)N)O,515.1791,513.1635,C26H29NO10,C26H27NO10,2.0156,2.0156 ,R06692,1.14.13.181,0,rn01057: Biosynthesis of type II polyketide products///rn01110: Biosynthesis of secondary metabolites
C18221,C18222,C[C@@]1(CC[C@H]2C(=CC[C@@H]3[C@@]2(CCC[C@@]3(C)CO)C)C1)C=C,C[C@@]1(CC[C@H]2C(=CC[C@@H]3[C@@]2(CCC[C@@]3(C)C=O)C)C1)C=C,288.2453,286.2297,C20H32O,C20H30O,2.0156,2.0156 ,R09113,1.14.13.-,0,rn00904: Diterpenoid biosynthesis///rn01110: Biosynthesis of secondary metabolites
C03088,C17206,C1=C(C(=O)NC(=O)N1)CO,C1=C(C(=O)NC(=O)N1)C=O,142.0378,140.0222,C5H6N2O3,C5H4N2O3,2.0156,2.0156 ,R08610,1.14.11.6,0,0
C06659,C06660,C1[C@H]2N(C1=O)[C@@H]([C@H](O2)CCN)C(=O)O,C1[C@H]2N(C1=O)[C@@H](/C(=C/CN)/O2)C(=O)O,200.0797,198.0641,C8H12N2O4,C8H10N2O4,2.0156,2.0156 ,R05469,1.14.11.21,"see R05467, R05468",rn00331: Clavulanic acid biosynthesis///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites
C03579,C11870,CC12[C@H]3[C@@H]([C@@]45CC(=C)[C@@](C4)(CC[C@H]5[C@@]3(C[C@@H]([C@@H]1O)O)OC2=O)O)C(=O)O,C[C@@]1([C@H]2[C@@H]([C@@]34CC(=C)[C@@](C3)(CC[C@H]4C2=CC(=O)[C@@H]1O)O)C(=O)O)C(=O)O,364.1522,362.1366,C19H24O7,C19H22O7,2.0156,2.0156 ,R06345,1.14.11.13,ATGA2OX3,rn00904: Diterpenoid biosynthesis
C06452,C06454,C[C@@H](CP(=O)(O)O)O,C[C@H]1[C@H](O1)P(=O)(O)O,140.0238,138.0082,C3H9O4P,C3H7O4P,2.0156,2.0156 ,R08863,1.11.1.23,0,rn00998: Biosynthesis of various antibiotics///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites
C01848,C01849,C[C@H]1/C=C/C=C(\C(=O)NC2=CC(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)OCC(=O)O)/C,C[C@H]1/C=C/C=C(\C(=O)NC2=CC3(C4=C5C(=C(C(=C4C2=O)O)C)O[C@@](C5=O)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)OCC(=O)O3)/C,755.3153,753.2997,C39H49NO14,C39H47NO14,2.0156,2.0156 ,R03736,1.10.3.6,0,0
C00164,C03197,CC(=O)CC(=O)O,C[C@@H](CC(=O)O)O,102.0317,104.0473,C4H6O3,C4H8O3,-2.0156,2.0156 ,R03225,1.1.99.24,0,0
C00243,C05403,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](OC([C@@H]([C@H]2O)O)O)CO)O)O)O)O,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O[C@H]2[C@@H](C(=O)[C@H]([C@H](O2)CO)O)O)O,342.1162,340.1006,C12H22O11,C12H20O11,2.0156,2.0156 ,R01680,1.1.99.13,0,0
C00072,C01040,C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O,C([C@@H]([C@@H]1[C@@H]([C@@H](C(=O)O1)O)O)O)O,176.0321,178.0477,C6H8O6,C6H10O6,-2.0156,2.0156 ,R10053,1.1.3.8,two-step reaction (see R03184+R00647),rn01240: Biosynthesis of cofactors
C17588,C17589,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)N)O[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)N)O)O)N,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)N)O[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C=O)O)O)N)O)O)N,615.2963,613.2807,C23H45N5O14,C23H43N5O14,2.0156,2.0156 ,R08902,1.1.3.44,0,"rn00524: Neomycin, kanamycin and gentamicin biosynthesis///rn01110: Biosynthesis of secondary metabolites"
C02117,C02982,C[C@H](CCC[C@H](C)CCCC(C)C)CCC[C@H](C)C(=O)C(=O)O,CC(C)CCCC(C)CCCC(C)CCCC(C)[C@@H](C(=O)O)O,326.2821,328.2977,C20H38O3,C20H40O3,-2.0156,2.0156 ,R07151,1.1.3.27,0,0
C00378,C05856,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CC=O,265.1123,263.0967,C12H17N4OS,C12H15N4OS,2.0156,2.0156 ,R00033,1.1.3.23,"first step of two-step reaction (see R02132, R00033+R00072)///subsequently R00072 (without release of thiamine aldehyde from enzyme)",rn00730: Thiamine metabolism///rn01100: Metabolic pathways
C02779,C06440,C([C@@H]1[C@H]([C@@H](C(=O)[C@@H](O1)O)O)O)O,C([C@@H]1[C@H]([C@@H](C(=O)C(=O)O1)O)O)O,178.0477,176.0321,C6H10O6,C6H8O6,2.0156,2.0156 ,R04048,1.1.3.-,0,0
C00869,C03045,CCCCCCCCCCCCCCCCC(=O)C(=O)O,CCCCCCCCCCCCCCCC[C@@H](C(=O)O)O,298.2508,300.2664,C18H34O3,C18H36O3,-2.0156,2.0156 ,R03022,1.1.1.99,0,0
C00869,C03042,CCCCCCCCCCCCCCCCC(=O)C(=O)O,CCCCCCCCCCCCCCCC[C@H](C(=O)O)O,298.2508,300.2664,C18H34O3,C18H36O3,-2.0156,2.0156 ,R03021,1.1.1.98,0,0
C03067,C03351,C1=CC(=CC(=C1)O)C=O,C1=CC(=CC(=C1)O)CO,122.0368,124.0524,C7H6O2,C7H8O2,-2.0156,2.0156 ,R04136,1.1.1.97,0,rn00623: Toluene degradation///rn01120: Microbial metabolism in diverse environments///rn01220: Degradation of aromatic compounds
C00197,C03232,C([C@H](C(=O)O)O)OP(=O)(O)O,C(C(=O)C(=O)O)OP(=O)(O)O,185.9929,183.9773,C3H7O7P,C3H5O7P,2.0156,2.0156 ,R01513,1.1.1.95,0,"rn00260: Glycine, serine and threonine metabolism///rn00270: Cysteine and methionine metabolism///rn00680: Methane metabolism///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites///rn01120: Microbial metabolism in diverse environments///rn01200: Carbon metabolism///rn01230: Biosynthesis of amino acids"
C00898,C03459,[C@@H]([C@H](C(=O)O)O)(C(=O)O)O,C(C(=O)C(=O)O)(C(=O)O)O,150.0164,148.0008,C4H6O6,C4H4O6,2.0156,2.0156 ,R06180,1.1.1.93,0,rn00630: Glyoxylate and dicarboxylate metabolism///rn01100: Metabolic pathways
C00261,C00556,C1=CC=C(C=C1)C=O,C1=CC=C(C=C1)CO,106.0419,108.0575,C7H6O,C7H8O,-2.0156,2.0156 ,R01763,1.1.1.90,0,rn00623: Toluene degradation///rn01100: Metabolic pathways///rn01120: Microbial metabolism in diverse environments///rn01220: Degradation of aromatic compounds
C00900,C04039,CC(=O)C(C)(C(=O)O)O,CC(C)(C(C(=O)O)O)O,132.0423,134.0579,C5H8O4,C5H10O4,-2.0156,2.0156 ,R03051,1.1.1.86,0,0
C02217,C02774,C(CCCCC(=O)O)CCCC=O,C(CCCCC(=O)O)CCCCO,186.1256,188.1412,C10H18O3,C10H20O3,-2.0156,2.0156 ,R03886,1.1.1.66,0,0
C00558,C00817,C(C1([C@H]([C@H]([C@H](O1)C(=O)O)O)O)O)O,C([C@H]([C@H]([C@H]([C@@H](C(=O)O)O)O)O)O)O,194.0427,196.0583,C6H10O7,C6H12O7,-2.0156,2.0156 ,R02555,1.1.1.58,0,rn00040: Pentose and glucuronate interconversions///rn01100: Metabolic pathways
C00514,C00905,C([C@H]([C@H]([C@@H]([C@@H](C(=O)O)O)O)O)O)O,C(C1([C@H]([C@@H]([C@H](O1)C(=O)O)O)O)O)O,196.0583,194.0427,C6H12O7,C6H10O7,2.0156,2.0156 ,R02454,1.1.1.57,0,rn00040: Pentose and glucuronate interconversions///rn01100: Metabolic pathways
C05480,C05484,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)C,C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)C)O,318.2559,320.2715,C21H34O2,C21H36O2,-2.0156,2.0156 ,R04847,1.1.1.53,0,rn00140: Steroid hormone biosynthesis///rn01100: Metabolic pathways
C01227,C20252,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC=C4[C@@]3(CC[C@@H](C4)O)C,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC=C4[C@@]3(CCC(=O)C4)C,288.2089,286.1933,C19H28O2,C19H26O2,2.0156,2.0156 ,R09957,1.1.1.51,0,rn00984: Steroid degradation///rn01120: Microbial metabolism in diverse environments
C00618,C00800,C([C@@H]([C@H](C(=O)[C@@H](C(=O)O)O)O)O)O,C([C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O)O)O)O)O,194.0427,196.0583,C6H10O7,C6H12O7,-2.0156,2.0156 ,R02640,1.1.1.45,0,rn00040: Pentose and glucuronate interconversions///rn01100: Metabolic pathways
C09819,C09820,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)[C@H](CC(=O)O)[C@H](C4=CC=CC=C4)O)O,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)[C@H](CC(=O)O)C(=O)C4=CC=CC=C4)O,973.1731,971.1575,C32H46N7O20P3S,C32H44N7O20P3S,2.0156,2.0156 ,R05575,1.1.1.429,"BbsC,BbsD",rn00623: Toluene degradation///rn01100: Metabolic pathways///rn01120: Microbial metabolism in diverse environments///rn01220: Degradation of aromatic compounds
C00311,C05379,C(C(C(C(=O)O)O)C(=O)O)C(=O)O,C(C(C(=O)C(=O)O)C(=O)O)C(=O)O,192.027,190.0114,C6H8O7,C6H6O7,2.0156,2.0156 ,R01899,1.1.1.42,"the first step of two-step reaction (see R00267, R01899+R00268)///subsequently R00268",rn00020: Citrate cycle (TCA cycle)///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites///rn01120: Microbial metabolism in diverse environments///rn01210: 2-Oxocarboxylic acid metabolism
C06051,C06052,CC1=NC=C(C(=C1O)CO)C=O,CC1=NC=C2C(=C1O)COC2=O,167.0582,165.0426,C8H9NO3,C8H7NO3,2.0156,2.0156 ,R05084,1.1.1.416,0,rn00750: Vitamin B6 metabolism
C01983,C02137,C1=CC=C(C=C1)[C@H](C(=O)O)O,C1=CC=C(C=C1)C(=O)C(=O)O,152.0473,150.0317,C8H8O3,C8H6O3,2.0156,2.0156 ,R03790,1.1.1.379,0,0
C06749,C09821,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)C4=CCCCC4O)O,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)C4=CCCCC4=O)O,891.1676,889.152,C28H44N7O18P3S,C28H42N7O18P3S,2.0156,2.0156 ,R05581,1.1.1.368,0,rn00362: Benzoate degradation///rn01100: Metabolic pathways///rn01120: Microbial metabolism in diverse environments///rn01220: Degradation of aromatic compounds
C12423,C12424,CC[C@]1(CC(=O)C2=C([C@H]1C(=O)OC)C=C3C(=C2O)C(=O)C4=C(C3=O)C=CC=C4O)O,CC[C@]1(C[C@@H](C2=C([C@H]1C(=O)OC)C=C3C(=C2O)C(=O)C4=C(C3=O)C=CC=C4O)O)O,410.1002,412.1158,C22H18O8,C22H20O8,-2.0156,2.0156 ,R06682,1.1.1.362,0,rn01057: Biosynthesis of type II polyketide products///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites
C20507,C20508,C1=C(C=C2C(=C1O)C(=O)C3=C(C4=C(C=C3C2=O)O[C@@H]([C@H]4CCO)O)O)O,C1=C(C=C2C(=C1O)C(=O)C3=C(C(=C(C=C3C2=O)O)[C@H](CCO)CO)O)O,358.0689,360.0845,C18H14O8,C18H16O8,-2.0156,2.0156 ,R10400,1.1.1.353,0,rn00254: Aflatoxin biosynthesis///rn01110: Biosynthesis of secondary metabolites
C20501,C20502,C[C@H](CCC[C@@H](C1=C(C=C2C(=C1O)C(=O)C3=C(C=C(C=C3C2=O)O)O)O)O)O,CC(=O)CCC[C@@H](C1=C(C=C2C(=C1O)C(=O)C3=C(C=C(C=C3C2=O)O)O)O)O,388.1158,386.1002,C20H20O8,C20H18O8,2.0156,2.0156 ,R10311,1.1.1.352,0,rn00254: Aflatoxin biosynthesis///rn01110: Biosynthesis of secondary metabolites
C06714,C06715,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)CC(CCCC(=O)O)O)O,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)CC(=O)CCCC(=O)O)O,925.1731,923.1575,C28H46N7O20P3S,C28H44N7O20P3S,2.0156,2.0156 ,R05305,1.1.1.35///1.1.1.259,0,rn00362: Benzoate degradation///rn01100: Metabolic pathways///rn01120: Microbial metabolism in diverse environments
